State,Confirmed,Recovered,Deaths,Active
Total,2025409,1377384,41638,605933
Maharashtra,479779,316375,16792,146305
Tamil Nadu,279144,221087,4571,53486
Delhi,141531,127124,4059,10348
Karnataka,158254,80281,2897,75067
Andhra Pradesh,196789,112870,1753,82166
Uttar Pradesh,108974,63402,1918,43654
Gujarat,67811,50524,2579,14708
West Bengal,86754,61023,1902,23829
Telangana,73050,52103,589,20358
Rajasthan,48996,35131,757,13108
Bihar,68148,43820,388,23939
Haryana,39303,32640,458,6205
Assam,52818,37225,126,15464
Madhya Pradesh,36564,26902,946,8716
Odisha,40717,26888,280,13549
Jammu and Kashmir,23454,15708,436,7310
Kerala,30449,18333,98,11983
Punjab,20891,13659,517,6715
Jharkhand,15756,6594,145,9017
Chhattisgarh,11020,8088,77,2855
Uttarakhand,8623,5427,102,3056
Goa,7614,5453,66,2095
Tripura,5740,3793,31,1898
Puducherry,4621,2808,70,1743
Manipur,3217,1905,8,1304
Himachal Pradesh,3047,1865,13,1141
Ladakh,1595,1177,7,411
Nagaland,2580,819,6,1752
Arunachal Pradesh,1948,1245,3,700
Chandigarh,1327,777,20,529
Dadra and Nagar Haveli and Daman and Diu,1415,997,2,406
Meghalaya,990,345,5,640
Sikkim,829,353,1,475
Mizoram,538,288,0,249
Andaman and Nicobar Islands,1123,355,16,752
